date,close,vol_usd,vol_btc,fed_rate,gold_usd,kospi,ex_rate
2014-01-01,815.9400019999999,8663855,10618.250090403095,0.07,1204.5,2011.34,1055.3
2014-01-02,856.909973,10826907,12634.82435861439,0.07,1225.0,1967.19,1055.3
2014-01-03,884.26001,8409629,9510.357705761227,0.07,1234.5,1946.14,1050.4
2014-01-04,924.6900019999999,12784626,13825.850795778368,0.07,1234.5,1946.14,1050.4
2014-01-05,1014.73999,20789364,20487.38022042474,0.07,1234.5,1946.14,1050.4
2014-01-06,1012.650024,23622237,23327.148017724234,0.07,1246.25,1953.28,1054.1
2014-01-07,879.900024,21753921,24723.173549998675,0.07,1227.5,1959.44,1062.2
2014-01-08,938.840027,12942254,13785.366652246497,0.07,1221.0,1958.96,1067.9
2014-01-09,936.9500119999999,13202619,14091.060174937062,0.07,1226.0,1946.11,1066.0
2014-01-10,957.76001,5909107,6169.715730770593,0.07,1244.25,1938.54,1064.8
2014-01-11,1005.320007,10948175,10890.238853069995,0.07,1244.25,1938.54,1064.8
2014-01-12,939.7899779999999,9620090,10236.425398441525,0.07,1244.25,1938.54,1064.8
2014-01-13,922.909973,9220891,9991.105600502597,0.07,1248.0,1948.92,1062.8
2014-01-14,919.2800289999999,3960633,4308.407530954858,0.07,1251.5,1946.07,1056.5
2014-01-15,941.2199710000001,6448062,6850.74923893641,0.07,1236.0,1953.28,1058.4
2014-01-16,913.48999,4720008,5167.005716176484,0.07,1241.5,1957.32,1062.5
2014-01-17,894.159973,9203107,10292.461391581437,0.07,1250.0,1944.48,1064.2
2014-01-18,905.7199710000001,5493742,6065.6076667210855,0.07,1250.0,1944.48,1064.2
2014-01-19,954.7999880000001,7071649,7406.419238455205,0.07,1250.0,1944.48,1064.2
2014-01-20,955.9500119999999,9981282,10441.217505837534,0.07,1255.75,1953.78,1061.0
2014-01-21,962.2100220000001,6289022,6536.017975501818,0.07,1238.0,1963.89,1063.9
2014-01-22,950.9500119999999,4503428,4735.714751744491,0.07,1241.0,1970.42,1064.2
2014-01-23,944.159973,1839615,1948.4145193687425,0.07,1263.0,1947.59,1068.4
2014-01-24,916.5499880000001,5684047,6201.567917100883,0.07,1267.0,1940.56,1071.9
2014-01-25,961.0499880000001,7797108,8113.113883104277,0.07,1267.0,1940.56,1071.9
2014-01-26,1007.0,13054605,12963.857994041708,0.07,1267.0,1940.56,1071.9
2014-01-27,943.5399779999999,8052715,8534.577429426103,0.07,1260.5,1910.34,1077.2
2014-01-28,932.679993,9757613,10461.908771747396,0.07,1251.25,1916.93,1084.1
2014-01-29,925.669983,5254878,5676.837422090201,0.07,1264.0,1941.15,1079.2
2014-01-30,941.3900150000001,5026461,5339.403350268167,0.07,1242.5,1941.15,1079.2
2014-01-31,938.849976,4024749,4286.892584422882,0.07,1251.0,1941.15,1079.2
2014-02-01,940.419983,4118865,4379.814417448422,0.07,1251.0,1941.15,1079.2
2014-02-02,953.3099980000001,1495327,1568.5632198729966,0.07,1251.0,1941.15,1079.2
2014-02-03,931.7100220000001,2601784,2792.482573510409,0.07,1262.0,1919.96,1071.1
2014-02-04,926.6400150000001,4250751,4587.273300516814,0.07,1250.25,1886.85,1082.2
2014-02-05,904.5200199999999,6865987,7590.751833220895,0.07,1254.5,1891.32,1086.1
2014-02-06,828.869995,15719958,18965.529087586285,0.07,1256.5,1907.89,1079.5
2014-02-07,695.650024,36412212,52342.71651516539,0.07,1259.25,1922.5,1076.4
2014-02-08,648.780029,15503790,23896.836072307644,0.07,1259.25,1922.5,1076.4
2014-02-09,659.570007,13186251,19992.193186552824,0.07,1259.25,1922.5,1076.4
2014-02-10,582.630005,24334044,41765.861337676906,0.07,1277.0,1923.3,1075.1
2014-02-11,578.960022,9621820,16619.144041693435,0.07,1282.0,1932.06,1071.9
2014-02-12,531.130005,11628634,21894.13870526859,0.07,1289.5,1935.84,1072.0
2014-02-13,451.44000199999994,14394464,31885.663512822688,0.07,1296.0,1926.96,1064.7
2014-02-14,427.67999299999997,25084223,58651.850473632054,0.07,1320.0,1940.28,1063.9
2014-02-15,371.070007,18299075,49314.34676691615,0.07,1320.0,1940.28,1063.9
2014-02-16,299.799988,26267622,87617.15494131374,0.07,1320.0,1940.28,1063.9
2014-02-17,272.27999900000003,16532226,60717.73931510848,0.07,1327.5,1946.36,1061.9
2014-02-18,293.950012,14130126,48069.82623970772,0.07,1320.75,1946.91,1060.5
2014-02-19,261.52999900000003,8618299,32953.38597083847,0.07,1320.5,1942.93,1064.1
2014-02-20,111.91999799999999,16608347,148394.81144379577,0.07,1316.25,1930.57,1067.1
2014-02-21,111.559998,10115923,90676.97365860477,0.07,1323.25,1957.83,1071.9
2014-02-22,255.58999599999999,11838225,46317.24709600919,0.07,1323.25,1957.83,1071.9
2014-02-23,310.170013,11158706,35976.095471227905,0.07,1323.25,1957.83,1071.9
2014-02-24,174.0,17929284,103041.86206896552,0.07,1334.75,1949.05,1073.1
2014-02-25,135.779999,3993023,29408.035273295296,0.07,1339.0,1964.86,1076.3
2014-02-26,593.1400150000001,383571,646.6786767033412,0.07,1331.75,1970.77,1070.6
2014-02-27,596.48999,322887,541.3116823636889,0.07,1332.25,1978.43,1069.9
2014-02-28,573.9400019999999,321170,559.5881083054393,0.07,1326.5,1979.99,1067.7
2014-03-01,557.3900150000001,250331,449.1128173510607,0.08,1326.5,1979.99,1067.7
2014-03-02,544.5599980000001,469498,862.1602793527261,0.08,1326.5,1979.99,1067.7
2014-03-03,662.179993,794976,1200.5436715150047,0.08,1349.5,1964.69,1066.2
2014-03-04,661.849976,947328,1431.3334356002154,0.08,1334.75,1954.11,1071.9
2014-03-05,658.299988,855787,1299.9954665045504,0.08,1337.0,1971.24,1072.0
2014-03-06,648.26001,1367401,2109.3403555773866,0.08,1345.25,1975.62,1070.6
