date,gold_usd
2014-01-01,1204.5
2014-01-02,1225.0
2014-01-03,1234.5
2014-01-04,1234.5
2014-01-05,1234.5
2014-01-06,1246.25
2014-01-07,1227.5
2014-01-08,1221.0
2014-01-09,1226.0
2014-01-10,1244.25
2014-01-11,1244.25
2014-01-12,1244.25
2014-01-13,1248.0
2014-01-14,1251.5
2014-01-15,1236.0
2014-01-16,1241.5
2014-01-17,1250.0
2014-01-18,1250.0
2014-01-19,1250.0
2014-01-20,1255.75
2014-01-21,1238.0
2014-01-22,1241.0
2014-01-23,1263.0
2014-01-24,1267.0
2014-01-25,1267.0
2014-01-26,1267.0
2014-01-27,1260.5
2014-01-28,1251.25
2014-01-29,1264.0
2014-01-30,1242.5
2014-01-31,1251.0
2014-02-01,1251.0
2014-02-02,1251.0
2014-02-03,1262.0
2014-02-04,1250.25
2014-02-05,1254.5
2014-02-06,1256.5
2014-02-07,1259.25
2014-02-08,1259.25
2014-02-09,1259.25
2014-02-10,1277.0
2014-02-11,1282.0
2014-02-12,1289.5
2014-02-13,1296.0
2014-02-14,1320.0
2014-02-15,1320.0
2014-02-16,1320.0
2014-02-17,1327.5
2014-02-18,1320.75
2014-02-19,1320.5
2014-02-20,1316.25
2014-02-21,1323.25
2014-02-22,1323.25
2014-02-23,1323.25
2014-02-24,1334.75
2014-02-25,1339.0
2014-02-26,1331.75
2014-02-27,1332.25
2014-02-28,1326.5
2014-03-01,1326.5
2014-03-02,1326.5
2014-03-03,1349.5
2014-03-04,1334.75
2014-03-05,1337.0
2014-03-06,1345.25
2014-03-07,1335.25
2014-03-08,1335.25
2014-03-09,1335.25
2014-03-10,1344.0
2014-03-11,1346.25
2014-03-12,1366.0
2014-03-13,1368.75
2014-03-14,1385.0
2014-03-15,1385.0
2014-03-16,1385.0
2014-03-17,1378.5
2014-03-18,1355.75
2014-03-19,1338.0
2014-03-20,1327.0
2014-03-21,1336.0
2014-03-22,1336.0
2014-03-23,1336.0
2014-03-24,1310.75
2014-03-25,1313.5
2014-03-26,1304.0
2014-03-27,1296.0
2014-03-28,1294.75
2014-03-29,1294.75
2014-03-30,1294.75
2014-03-30,1294.75
2014-03-31,1291.75
2014-04-01,1283.75
2014-04-02,1292.0
2014-04-03,1284.0
2014-04-04,1297.25
2014-04-05,1297.25
2014-04-06,1297.25
2014-04-07,1299.0
2014-04-08,1309.5
2014-04-09,1301.75
2014-04-10,1320.5
2014-04-11,1318.0
2014-04-12,1318.0
2014-04-13,1318.0
2014-04-14,1325.75
2014-04-15,1298.0
2014-04-16,1301.5
2014-04-17,1299.0
2014-04-18,1299.0
2014-04-19,1299.0
2014-04-20,1299.0
2014-04-21,1299.0
2014-04-22,1286.75
2014-04-23,1285.25
2014-04-24,1291.5
2014-04-25,1301.25
2014-04-26,1301.25
2014-04-27,1301.25
2014-04-28,1299.0
2014-04-29,1297.75
2014-04-30,1288.5
2014-05-01,1278.5
2014-05-02,1281.25
2014-05-03,1281.25
2014-05-04,1281.25
2014-05-05,1281.25
2014-05-06,1306.25
2014-05-07,1296.0
2014-05-08,1287.0
2014-05-09,1291.25
2014-05-10,1291.25
2014-05-11,1291.25
2014-05-12,1298.75
2014-05-13,1296.5
2014-05-14,1305.25
2014-05-15,1299.0
2014-05-16,1291.5
2014-05-17,1291.5
2014-05-18,1291.5
2014-05-19,1302.0
2014-05-20,1295.5
2014-05-21,1287.25
2014-05-22,1298.5
2014-05-23,1291.5
2014-05-24,1291.5
2014-05-25,1291.5
2014-05-26,1291.5
2014-05-27,1275.5
2014-05-28,1263.5
2014-05-29,1255.0
2014-05-30,1250.5
2014-05-31,1250.5
2014-06-01,1250.5
2014-06-02,1247.25
2014-06-03,1242.75
2014-06-04,1245.25
2014-06-05,1252.5
2014-06-06,1247.5
2014-06-07,1247.5
2014-06-08,1247.5
2014-06-09,1253.5
2014-06-10,1259.5
2014-06-11,1262.0
2014-06-12,1265.75
2014-06-13,1273.0
2014-06-14,1273.0
2014-06-15,1273.0
2014-06-16,1276.25
2014-06-17,1267.5
2014-06-18,1269.75
2014-06-19,1293.0
2014-06-20,1312.5
2014-06-21,1312.5
2014-06-22,1312.5
2014-06-23,1313.5
2014-06-24,1318.5
2014-06-25,1316.75
2014-06-26,1311.75
2014-06-27,1317.5
2014-06-28,1317.5
2014-06-29,1317.5
2014-06-30,1315.0
2014-07-01,1327.5
2014-07-02,1326.5
2014-07-03,1317.5
2014-07-04,1319.25
2014-07-05,1319.25
2014-07-06,1319.25
2014-07-07,1313.0
2014-07-08,1323.0
2014-07-09,1322.75
2014-07-10,1340.25
2014-07-11,1335.0
2014-07-12,1335.0
2014-07-13,1335.0
2014-07-14,1306.0
2014-07-15,1310.0
2014-07-16,1301.0
2014-07-17,1302.5
2014-07-18,1307.25
2014-07-19,1307.25
2014-07-20,1307.25
2014-07-21,1311.5
2014-07-22,1310.25
2014-07-23,1308.0
2014-07-24,1292.75
2014-07-25,1294.75
2014-07-26,1294.75
2014-07-27,1294.75
2014-07-28,1304.5
2014-07-29,1299.25
2014-07-30,1294.5
2014-07-31,1285.25
2014-08-01,1291.25
2014-08-02,1291.25
