통계표,"8.8.1.1 주요국통화의 대원화 환율"
항목명1,"원/미국달러(매매기준율)"
단위,"원 "
변환,"원자료"
2011/05/01,""
2011/05/02,"1,073.30"
2011/05/03,"1,066.80"
2011/05/04,"1,070.20"
2011/05/05,""
2011/05/06,"1,074.60"
2011/05/07,""
2011/05/08,""
2011/05/09,"1,085.00"
2011/05/10,""
2011/05/11,"1,079.90"
2011/05/12,"1,074.90"
2011/05/13,"1,082.70"
2011/05/14,""
2011/05/15,""
2011/05/16,"1,088.90"
2011/05/17,"1,092.80"
2011/05/18,"1,091.40"
2011/05/19,"1,086.70"
2011/05/20,"1,084.70"
2011/05/21,""
2011/05/22,""
2011/05/23,"1,082.70"
2011/05/24,"1,091.70"
2011/05/25,"1,094.80"
2011/05/26,"1,096.30"
2011/05/27,"1,090.50"
2011/05/28,""
2011/05/29,""
2011/05/30,"1,082.20"
2011/05/31,"1,080.60"
2011/06/01,"1,076.90"
2011/06/02,"1,076.40"
2011/06/03,"1,080.40"
2011/06/04,""
2011/06/05,""
2011/06/06,""
2011/06/07,"1,077.50"
2011/06/08,"1,080.60"
2011/06/09,"1,081.50"
2011/06/10,"1,083.10"
2011/06/11,""
2011/06/12,""
2011/06/13,"1,081.20"
2011/06/14,"1,085.90"
2011/06/15,"1,083.50"
2011/06/16,"1,082.50"
2011/06/17,"1,088.90"
2011/06/18,""
2011/06/19,""
2011/06/20,"1,087.20"
2011/06/21,"1,083.20"
2011/06/22,"1,081.70"
2011/06/23,"1,075.00"
2011/06/24,"1,076.70"
2011/06/25,""
2011/06/26,""
2011/06/27,"1,077.90"
2011/06/28,"1,086.70"
2011/06/29,"1,081.80"
2011/06/30,"1,078.10"
2011/07/01,"1,070.10"
2011/07/02,""
2011/07/03,""
2011/07/04,"1,066.40"
2011/07/05,"1,063.80"
2011/07/06,"1,065.60"
2011/07/07,"1,064.90"
2011/07/08,"1,064.30"
2011/07/09,""
2011/07/10,""
2011/07/11,"1,058.40"
2011/07/12,"1,059.70"
2011/07/13,"1,066.20"
2011/07/14,"1,063.20"
2011/07/15,"1,056.70"
2011/07/16,""
2011/07/17,""
2011/07/18,"1,057.30"
2011/07/19,"1,061.20"
2011/07/20,"1,059.70"
2011/07/21,"1,055.30"
2011/07/22,"1,055.30"
2011/07/23,""
2011/07/24,""
2011/07/25,"1,051.20"
2011/07/26,"1,054.50"
2011/07/27,"1,052.90"
2011/07/28,"1,050.20"
2011/07/29,"1,052.60"
2011/07/30,""
2011/07/31,""
2011/08/01,"1,053.10"
2011/08/02,"1,049.50"
2011/08/03,"1,051.30"
2011/08/04,"1,058.60"
2011/08/05,"1,058.50"
2011/08/06,""
2011/08/07,""
2011/08/08,"1,069.40"
2011/08/09,"1,073.50"
2011/08/10,"1,092.20"
2011/08/11,"1,080.40"
2011/08/12,"1,085.70"
2011/08/13,""
2011/08/14,""
2011/08/15,""
2011/08/16,"1,078.70"
2011/08/17,"1,070.00"
2011/08/18,"1,072.70"
2011/08/19,"1,072.30"
2011/08/20,""
2011/08/21,""
2011/08/22,"1,082.90"
2011/08/23,"1,083.40"
2011/08/24,"1,081.00"
2011/08/25,"1,079.00"
2011/08/26,"1,085.30"
2011/08/27,""
2011/08/28,""
2011/08/29,"1,084.50"
2011/08/30,"1,076.00"
2011/08/31,"1,071.70"
2011/09/01,"1,070.40"
2011/09/02,"1,063.00"
2011/09/03,""
2011/09/04,""
2011/09/05,"1,062.70"
2011/09/06,"1,068.30"
2011/09/07,"1,071.80"
2011/09/08,"1,071.70"
2011/09/09,"1,072.80"
2011/09/10,""
2011/09/11,""
2011/09/12,""
2011/09/13,""
2011/09/14,"1,076.00"
2011/09/15,"1,100.40"
2011/09/16,"1,108.10"
2011/09/17,""
2011/09/18,""
2011/09/19,"1,106.90"
2011/09/20,"1,122.30"
2011/09/21,"1,150.60"
2011/09/22,"1,147.20"
2011/09/23,"1,177.50"
2011/09/24,""
2011/09/25,""
2011/09/26,"1,186.00"
2011/09/27,"1,184.60"
2011/09/28,"1,179.70"
2011/09/29,"1,172.70"
2011/09/30,"1,179.50"
2011/10/01,""
2011/10/02,""
2011/10/03,""
2011/10/04,"1,178.10"
2011/10/05,"1,199.50"
2011/10/06,"1,192.40"
2011/10/07,"1,186.60"
2011/10/08,""
2011/10/09,""
2011/10/10,"1,179.90"
2011/10/11,"1,173.00"
2011/10/12,"1,164.20"
2011/10/13,"1,172.40"
2011/10/14,"1,158.00"
2011/10/15,""
2011/10/16,""
2011/10/17,"1,160.30"
2011/10/18,"1,145.70"
2011/10/19,"1,147.10"
2011/10/20,"1,137.70"
2011/10/21,"1,139.50"
2011/10/22,""
2011/10/23,""
2011/10/24,"1,149.50"
2011/10/25,"1,137.70"
2011/10/26,"1,127.90"
2011/10/27,"1,130.40"
2011/10/28,"1,124.50"
2011/10/29,""
2011/10/30,""
2011/10/31,"1,104.50"
2011/11/01,"1,105.20"
2011/11/02,"1,113.90"
2011/11/03,"1,126.20"
2011/11/04,"1,131.50"
2011/11/05,""
2011/11/06,""
2011/11/07,"1,112.60"
2011/11/08,"1,115.00"
2011/11/09,"1,116.30"
2011/11/10,"1,115.70"
2011/11/11,"1,134.30"
2011/11/12,""
2011/11/13,""
2011/11/14,"1,127.30"
2011/11/15,"1,120.60"
2011/11/16,"1,126.20"
2011/11/17,"1,134.50"
2011/11/18,"1,137.60"
2011/11/19,""
2011/11/20,""
2011/11/21,"1,136.40"
2011/11/22,"1,139.60"
2011/11/23,"1,146.60"
2011/11/24,"1,149.20"
2011/11/25,"1,157.10"
2011/11/26,""
2011/11/27,""
2011/11/28,"1,159.90"
2011/11/29,"1,154.90"
2011/11/30,"1,150.30"
2011/12/01,"1,140.60"
2011/12/02,"1,127.20"
2011/12/03,""
2011/12/04,""
2011/12/05,"1,127.70"
2011/12/06,"1,130.30"
2011/12/07,"1,131.20"
2011/12/08,"1,126.80"
2011/12/09,"1,130.90"
2011/12/10,""
2011/12/11,""
2011/12/12,"1,142.30"
2011/12/13,"1,145.00"
2011/12/14,"1,155.40"
2011/12/15,"1,158.50"
