date,close,vol_usd,mktcap_usd,vol_btc,mktcap_btc,fed_rate,gold_usd,kospi,ex_rate
2014-01-01,771.4,22489400,9403308145,29154.00570391496,12189925.0,0.07,1204.5,2011.34,1055.3
2014-01-02,802.39,38489500,9781073921,47968.56890041003,12189925.00031157,0.07,1225.0,1967.19,1055.3
2014-01-03,818.72,37810100,9980135396,46181.966972835646,12189925.0,0.07,1234.5,1946.14,1050.4
2014-01-04,859.51,38005000,10477362437,44217.053902805084,12189925.000290863,0.07,1234.5,1946.14,1050.4
2014-01-05,933.53,72898496,11379660685,78089.07694450098,12189924.9997322,0.07,1234.5,1946.14,1050.4
2014-01-06,953.29,85565696,11620533603,89758.30649644915,12189924.99973775,0.07,1246.25,1953.28,1054.1
2014-01-07,802.0,81311696,9808299600,101386.15461346634,12229800.0,0.07,1227.5,1959.44,1062.2
2014-01-08,842.72,74175600,10310363180,88019.27093221947,12234625.0,0.07,1221.0,1958.96,1067.9
2014-01-09,846.86,59998600,10365397028,70848.31022837304,12239800.0,0.07,1226.0,1946.11,1066.0
2014-01-10,868.48,31876800,10634081648,36704.12675018423,12244475.0,0.07,1244.25,1938.54,1064.8
2014-01-11,913.95,44754200,11195636164,48967.88664587778,12249725.000273537,0.07,1244.25,1938.54,1064.8
2014-01-12,863.22,39623500,10578653198,45901.97168740298,12254875.000579227,0.07,1244.25,1938.54,1064.8
2014-01-13,841.2,45580900,10312375950,54185.56823585354,12259125.0,0.07,1248.0,1948.92,1062.8
2014-01-14,833.27,20829800,10218535832,24997.659822146485,12263174.999699978,0.07,1251.5,1946.07,1056.5
2014-01-15,860.9,28107200,10561305975,32648.623533511443,12267750.0,0.07,1236.0,1953.28,1058.4
2014-01-16,835.63,19149300,10255185612,22916.003494369517,12272400.0,0.07,1241.5,1957.32,1062.5
2014-01-17,814.64,39031700,10000663202,47912.820386919375,12276175.0,0.07,1250.0,1944.48,1064.2
2014-01-18,840.0,18052700,10315662000,21491.309523809523,12280550.0,0.07,1250.0,1944.48,1064.2
2014-01-19,870.96,24365700,10699504086,27975.682006062274,12284725.0,0.07,1250.0,1944.48,1064.2
2014-01-20,870.2,27652700,10694453430,31777.407492530452,12289650.0,0.07,1255.75,1953.78,1061.0
2014-01-21,863.91,18997300,10620283205,21989.906355986157,12293274.999710618,0.07,1238.0,1963.89,1063.9
2014-01-22,845.59,18453700,10399573174,21823.460542343215,12298600.0,0.07,1241.0,1970.42,1064.2
2014-01-23,822.04,15607100,10113558120,18985.81577538806,12303000.0,0.07,1263.0,1947.59,1068.4
2014-01-24,797.07,34912000,9810138293,43800.41903471464,12307750.000627296,0.07,1267.0,1940.56,1071.9
2014-01-25,853.61,24303900,10509539619,28471.90168812455,12311875.000292873,0.07,1267.0,1940.56,1071.9
2014-01-26,885.28,32224300,10902798632,36400.12199530092,12315650.0,0.07,1267.0,1940.56,1071.9
2014-01-27,771.39,49233600,9503544085,63824.524559561316,12320025.000324091,0.07,1260.5,1910.34,1077.2
2014-01-28,812.51,44875500,10013251364,55230.70485286335,12323850.000615377,0.07,1251.25,1916.93,1084.1
2014-01-29,826.0,17984400,10182659550,21772.881355932204,12327675.0,0.07,1264.0,1941.15,1079.2
2014-01-30,819.03,29918200,10100339387,36528.82067811924,12332074.99969476,0.07,1242.5,1941.15,1079.2
2014-01-31,829.92,17107900,10238411820,20613.914594177753,12336625.0,0.07,1251.0,1941.15,1079.2
2014-02-01,832.58,19668700,10275202812,23623.795911504,12341400.0,0.07,1251.0,1941.15,1079.2
2014-02-02,825.37,11300900,10190038654,13691.919987399591,12346024.999697106,0.07,1251.0,1941.15,1079.2
2014-02-03,823.83,13940100,10174774202,16921.08808856196,12350574.999696538,0.07,1262.0,1919.96,1071.1
2014-02-04,827.96,16609700,10229342305,20060.993284699744,12354875.0,0.07,1250.25,1886.85,1082.2
2014-02-05,811.91,22395100,10034436286,27583.22966831299,12359050.000615831,0.07,1254.5,1891.32,1086.1
2014-02-06,781.55,50108700,9662791119,64114.51602584608,12363625.000319878,0.07,1256.5,1907.89,1079.5
2014-02-07,712.4,113643000,8810607000,159521.33632790568,12367500.0,0.07,1259.25,1922.5,1076.4
2014-02-08,673.92,38742600,8337738240,57488.42592592593,12372000.0,0.07,1259.25,1922.5,1076.4
2014-02-09,682.9,39311400,8451228950,57565.382925757796,12375500.0,0.07,1259.25,1922.5,1076.4
2014-02-10,681.03,112758000,8430742782,165569.7986872825,12379400.0,0.07,1277.0,1923.3,1075.1
2014-02-11,672.17,72745200,8323817195,108224.4075159558,12383500.0,0.07,1282.0,1932.06,1071.9
2014-02-12,651.72,25367600,8073458481,38924.07782483275,12387925.0,0.07,1289.5,1935.84,1072.0
2014-02-13,605.24,38588100,7500376176,63756.69156037275,12392400.0,0.07,1296.0,1926.96,1064.7
2014-02-14,661.99,102506000,8206805878,154845.2393540688,12397174.99962235,0.07,1320.0,1940.28,1063.9
2014-02-15,650.92,26709200,8072579656,41032.99944693664,12401800.0,0.07,1320.0,1940.28,1063.9
2014-02-16,616.63,40061700,7650358837,64968.78192757407,12406725.000405429,0.07,1320.0,1940.28,1063.9
2014-02-17,626.27,31948400,7772386462,51013.77999904195,12410600.0,0.07,1327.5,1946.36,1061.9
2014-02-18,626.6,20015100,7779035355,31942.38748803064,12414675.0,0.07,1320.75,1946.91,1060.5
2014-02-19,623.03,13897800,7737830115,22306.791005248546,12419674.999598736,0.07,1320.5,1942.93,1064.1
2014-02-20,556.14,46905000,6909538974,84340.27403171864,12424100.0,0.07,1316.25,1930.57,1067.1
2014-02-21,574.16,47308100,7135603064,82395.32534485162,12427900.0,0.07,1323.25,1957.83,1071.9
2014-02-22,605.42,31254000,7526808473,51623.666215189456,12432375.000825875,0.07,1323.25,1957.83,1071.9
2014-02-23,605.82,31434400,7534325867,51887.3592816348,12436575.000825327,0.07,1323.25,1957.83,1071.9
2014-02-24,546.32,57893900,6796971990,105970.67652657782,12441374.999999998,0.07,1334.75,1949.05,1073.1
2014-02-25,538.71,126314000,6704461434,234474.94941619795,12445400.0,0.07,1339.0,1964.86,1076.3
2014-02-26,582.69,64642700,7254505067,110938.40635672484,12450024.999570955,0.07,1331.75,1970.77,1070.6
2014-02-27,578.77,25540800,7208406719,44129.446930559636,12454700.0,0.07,1332.25,1978.43,1069.9
2014-02-28,549.26,28076100,6843353924,51116.229108254745,12459225.000910316,0.07,1326.5,1979.99,1067.7
2014-03-01,565.61,18668100,7049084308,33005.25096798147,12462800.0,0.08,1326.5,1979.99,1067.7
2014-03-02,559.79,7950760,6978524072,14203.11188124118,12466325.000446597,0.08,1326.5,1979.99,1067.7
2014-03-03,667.76,96056896,8326933812,143849.43093326944,12469950.0,0.08,1349.5,1964.69,1066.2
2014-03-04,666.78,55344600,8317230356,83002.78952578062,12473725.000749873,0.08,1334.75,1954.11,1071.9
2014-03-05,665.51,22461900,8304000852,33751.40869408424,12477650.000751304,0.08,1337.0,1971.24,1072.0
2014-03-06,663.86,16068100,8286267327,24204.049046485703,12481950.0,0.08,1345.25,1975.62,1070.6
2014-03-07,629.15,34150800,7855629815,54280.85512198999,12486100.0,0.08,1335.25,1974.68,1067.4
2014-03-08,617.45,18654200,7712151171,30211.677058871162,12490324.999595108,0.08,1335.25,1974.68,1067.4
2014-03-09,636.96,15396500,7958687808,24171.8475257473,12494800.0,0.08,1335.25,1974.68,1067.4
2014-03-10,627.79,20639800,7846433315,32876.91744054541,12498500.0,0.08,1344.0,1954.42,1062.6
2014-03-11,634.11,11732500,7928102950,18502.31032470707,12502725.000394253,0.08,1346.25,1963.87,1065.9
2014-03-12,632.1,18621200,7905832725,29459.262774877392,12507250.0,0.08,1366.0,1932.54,1064.8
2014-03-13,638.14,11634900,7983960982,18232.51950982543,12511300.0,0.08,1368.75,1934.38,1069.2
2014-03-14,628.8,11913800,7869180480,18946.882951653944,12514600.0,0.08,1385.0,1919.9,1067.4
2014-03-15,636.12,4342080,7963443153,6825.88190907376,12518775.0,0.08,1385.0,1919.9,1067.4
2014-03-16,631.11,5277290,7903422086,8361.917890700512,12523050.000792254,0.08,1385.0,1919.9,1067.4
2014-03-17,622.37,14648200,7796513249,23536.160161961536,12527135.384096278,0.08,1378.5,1927.53,1072.0
2014-03-18,614.83,24011500,7704183118,39053.88481368833,12530590.761673957,0.08,1355.75,1940.21,1069.9
2014-03-19,609.89,14228900,7644702125,23330.272672121202,12534558.895866469,0.08,1338.0,1937.68,1067.9
2014-03-20,588.77,20572900,7382675346,34942.167569679164,12539150.000849228,0.08,1327.0,1919.52,1070.7
2014-03-21,571.49,38414100,7168656262,67217.44912421914,12543800.0,0.08,1336.0,1934.94,1075.3
2014-03-22,565.04,17360700,7090150172,30724.72745292369,12548050.0,0.08,1336.0,1934.94,1075.3
2014-03-23,561.27,9288400,7045871925,16548.898034813905,12553444.732481694,0.08,1336.0,1934.94,1075.3
2014-03-24,583.41,22706900,7326517067,38920.998954423136,12558093.051198985,0.08,1310.75,1945.55,1080.3
2014-03-25,583.92,14020100,7335179952,24010.309631456366,12561960.460337033,0.08,1313.5,1941.25,1079.7
2014-03-26,580.83,16401100,7298672082,28237.34999913916,12565935.096327668,0.08,1304.0,1964.31,1078.2
2014-03-27,471.24,62225400,5923615602,132046.09116373822,12570273.325693913,0.08,1296.0,1977.97,1075.0
