date,ex_rate
2014-01-01,1055.3
2014-01-02,1055.3
2014-01-03,1050.4
2014-01-04,1050.4
2014-01-05,1050.4
2014-01-06,1054.1
2014-01-07,1062.2
2014-01-08,1067.9
2014-01-09,1066.0
2014-01-10,1064.8
2014-01-11,1064.8
2014-01-12,1064.8
2014-01-13,1062.8
2014-01-14,1056.5
2014-01-15,1058.4
2014-01-16,1062.5
2014-01-17,1064.2
2014-01-18,1064.2
2014-01-19,1064.2
2014-01-20,1061.0
2014-01-21,1063.9
2014-01-22,1064.2
2014-01-23,1068.4
2014-01-24,1071.9
2014-01-25,1071.9
2014-01-26,1071.9
2014-01-27,1077.2
2014-01-28,1084.1
2014-01-29,1079.2
2014-01-30,1079.2
2014-01-31,1079.2
2014-02-01,1079.2
2014-02-02,1079.2
2014-02-03,1071.1
2014-02-04,1082.2
2014-02-05,1086.1
2014-02-06,1079.5
2014-02-07,1076.4
2014-02-08,1076.4
2014-02-09,1076.4
2014-02-10,1075.1
2014-02-11,1071.9
2014-02-12,1072.0
2014-02-13,1064.7
2014-02-14,1063.9
2014-02-15,1063.9
2014-02-16,1063.9
2014-02-17,1061.9
2014-02-18,1060.5
2014-02-19,1064.1
2014-02-20,1067.1
2014-02-21,1071.9
2014-02-22,1071.9
2014-02-23,1071.9
2014-02-24,1073.1
2014-02-25,1076.3
2014-02-26,1070.6
2014-02-27,1069.9
2014-02-28,1067.7
2014-03-01,1067.7
2014-03-02,1067.7
2014-03-03,1066.2
2014-03-04,1071.9
2014-03-05,1072.0
2014-03-06,1070.6
2014-03-07,1067.4
2014-03-08,1067.4
2014-03-09,1067.4
2014-03-10,1062.6
2014-03-11,1065.9
2014-03-12,1064.8
2014-03-13,1069.2
2014-03-14,1067.4
2014-03-15,1067.4
2014-03-16,1067.4
2014-03-17,1072.0
2014-03-18,1069.9
2014-03-19,1067.9
2014-03-20,1070.7
2014-03-21,1075.3
2014-03-22,1075.3
2014-03-23,1075.3
2014-03-24,1080.3
2014-03-25,1079.7
2014-03-26,1078.2
2014-03-27,1075.0
2014-03-28,1072.8
2014-03-29,1072.8
2014-03-30,1072.8
2014-03-30,1072.8
2014-03-31,1068.8
2014-04-01,1066.1
2014-04-02,1060.5
2014-04-03,1057.0
2014-04-04,1058.1
2014-04-05,1058.1
2014-04-06,1058.1
2014-04-07,1056.1
2014-04-08,1053.4
2014-04-09,1053.6
2014-04-10,1043.2
2014-04-11,1036.0
2014-04-12,1036.0
2014-04-13,1036.0
2014-04-14,1037.5
2014-04-15,1038.9
2014-04-16,1041.2
2014-04-17,1041.3
2014-04-18,1037.1
2014-04-19,1037.1
2014-04-20,1037.1
2014-04-21,1037.2
2014-04-22,1037.9
2014-04-23,1039.6
2014-04-24,1039.5
2014-04-25,1038.3
2014-04-26,1038.3
2014-04-27,1038.3
2014-04-28,1038.9
2014-04-29,1037.1
2014-04-30,1031.7
2014-05-01,1031.7
2014-05-02,1032.2
2014-05-03,1032.2
2014-05-04,1032.2
2014-05-05,1032.2
2014-05-06,1032.2
2014-05-07,1031.2
2014-05-08,1025.6
2014-05-09,1023.5
2014-05-10,1023.5
2014-05-11,1023.5
2014-05-12,1023.0
2014-05-13,1025.0
2014-05-14,1022.9
2014-05-15,1024.6
2014-05-16,1026.5
2014-05-17,1026.5
2014-05-18,1026.5
2014-05-19,1025.8
2014-05-20,1022.7
2014-05-21,1024.1
2014-05-22,1026.7
2014-05-23,1025.2
2014-05-24,1025.2
2014-05-25,1025.2
2014-05-26,1024.3
2014-05-27,1023.9
2014-05-28,1023.4
2014-05-29,1022.6
2014-05-30,1021.6
2014-05-31,1021.6
2014-06-01,1021.6
2014-06-02,1020.4
2014-06-03,1023.6
2014-06-04,1023.6
2014-06-05,1024.3
2014-06-06,1024.3
2014-06-07,1024.3
2014-06-08,1024.3
2014-06-09,1022.6
2014-06-10,1017.4
2014-06-11,1016.5
2014-06-12,1016.5
2014-06-13,1017.5
2014-06-14,1017.5
2014-06-15,1017.5
2014-06-16,1018.0
2014-06-17,1019.5
2014-06-18,1022.1
2014-06-19,1023.1
2014-06-20,1018.3
2014-06-21,1018.3
2014-06-22,1018.3
2014-06-23,1019.6
2014-06-24,1018.4
2014-06-25,1018.0
2014-06-26,1020.6
2014-06-27,1017.0
2014-06-28,1017.0
2014-06-29,1017.0
2014-06-30,1014.4
2014-07-01,1012.1
2014-07-02,1011.8
2014-07-03,1009.8
2014-07-04,1009.6
2014-07-05,1009.6
2014-07-06,1009.6
2014-07-07,1008.9
2014-07-08,1009.9
2014-07-09,1011.2
2014-07-10,1012.2
2014-07-11,1011.9
2014-07-12,1011.9
2014-07-13,1011.9
2014-07-14,1018.0
2014-07-15,1018.5
2014-07-16,1023.7
2014-07-17,1032.7
2014-07-18,1029.6
2014-07-19,1029.6
2014-07-20,1029.6
2014-07-21,1031.9
2014-07-22,1027.5
2014-07-23,1024.6
2014-07-24,1022.8
2014-07-25,1028.0
2014-07-26,1028.0
2014-07-27,1028.0
2014-07-28,1029.4
2014-07-29,1025.2
2014-07-30,1024.7
2014-07-31,1024.3
2014-08-01,1026.2
2014-08-02,1026.2
2014-08-03,1026.2
2014-08-04,1033.7
2014-08-05,1031.7
2014-08-06,1030.8
2014-08-07,1034.3
2014-08-08,1034.4
2014-08-09,1034.4
2014-08-10,1034.4
2014-08-11,1037.4
2014-08-12,1030.6
2014-08-13,1028.3
2014-08-14,1028.1
2014-08-15,1028.1
2014-08-16,1028.1
2014-08-17,1028.1
2014-08-18,1024.9
2014-08-19,1017.7
2014-08-20,1018.0
2014-08-21,1020.9
2014-08-22,1023.9
2014-08-23,1023.9
2014-08-24,1023.9
2014-08-25,1019.5
2014-08-26,1020.6
2014-08-27,1018.0
2014-08-28,1014.6
2014-08-29,1013.6
2014-08-30,1013.6
2014-08-31,1013.6
2014-09-01,1014.9
2014-09-02,1014.3
2014-09-03,1015.6
2014-09-04,1018.9
2014-09-05,1018.0
2014-09-06,1018.0
2014-09-07,1018.0
2014-09-08,1018.0
2014-09-09,1018.0
2014-09-10,1018.0
2014-09-11,1024.6
2014-09-12,1034.4
2014-09-13,1034.4
2014-09-14,1034.4
2014-09-15,1038.0
2014-09-16,1038.9
2014-09-17,1035.2
2014-09-18,1033.9
2014-09-19,1041.5
2014-09-20,1041.5
2014-09-21,1041.5
2014-09-22,1044.9
2014-09-23,1040.7
2014-09-24,1042.1
2014-09-25,1039.8
2014-09-26,1042.6
2014-09-27,1042.6
2014-09-28,1042.6
2014-09-29,1042.7
2014-09-30,1050.6
2014-10-01,1054.7
2014-10-02,1062.1
2014-10-03,1062.1
