,Date,Open,High,Low,Close,Volume_USD,MarketCap_USD,Volume_BTC,MarketCap_BTC
0,2019. 06. 12.,7925.43,8196.65,7862.36,8145.86,19034432883,144634684711,2336700.2235491406,17755606.49348258
1,2019. 06. 11.,8004.24,8026.39,7772.8,7927.71,17107279932,140748537530,2157909.400318629,17753996.74433096
2,2019. 06. 10.,7692.28,8031.91,7586.73,8000.33,18689275117,142023351079,2336063.0270251352,17752186.607177455
3,2019. 06. 09.,7949.67,7975.97,7583.22,7688.08,16610726547,136465098533,2160581.9069260466,17750218.329283774
4,2019. 06. 08.,8036.77,8076.89,7837.61,7954.13,16522722810,141172841635,2077250.7879554394,17748369.92040613
5,2019. 06. 07.,7826.9,8126.15,7788.37,8043.95,19141423231,142754693588,2379604.949185413,17746839.99627049
6,2019. 06. 06.,7819.63,7937.34,7571.47,7822.02,19474611077,138800725479,2489716.3491016384,17744869.67292336
7,2019. 06. 05.,7704.34,7901.85,7668.67,7824.23,21760923463,138824651666,2781222.36475666,17742915.490214374
8,2019. 06. 04.,8210.99,8210.99,7564.49,7707.77,24609731549,136742790469,3192847.1592951007,17740901.77431345
9,2019. 06. 03.,8741.75,8743.5,8204.19,8208.99,22004511436,145619047341,2680538.2191962716,17738972.436438587
10,2019. 06. 02.,8565.47,8809.3,8561.24,8742.96,20266216022,155077231351,2318003.973711421,17737383.146096975
11,2019. 06. 01.,8573.84,8625.6,8481.58,8564.02,22488303544,151890214310,2625905.0707494845,17735854.693239857
12,2019. 05. 31.,8320.29,8586.66,8172.55,8574.5,25365190957,152059886414,2958212.252259607,17733965.410694502
13,2019. 05. 30.,8661.76,9008.31,8221.27,8319.47,29246528551,147525141134,3515431.698293281,17732516.750946876
14,2019. 05. 29.,8718.59,8755.85,8482.73,8659.49,23473479966,153537047655,2710723.144896524,17730495.405041173
15,2019. 05. 28.,8802.76,8807.02,8634.72,8719.96,24226919267,154590202287,2778329.174331075,17728315.529773075
16,2019. 05. 27.,8674.07,8907.17,8668.7,8805.78,27949839564,156093754762,3174033.3694459773,17726283.73204872
17,2019. 05. 26.,8055.21,8687.52,7924.67,8673.22,26677970091,153725486067,3075901.4634703146,17724153.897514418
18,2019. 05. 25.,7991.89,8117.93,7965.98,8052.54,22256813107,142708188838,2763949.400685995,17722133.493034497
19,2019. 05. 24.,7881.7,8140.72,7824.45,7987.37,25919126991,141539115575,3245013.9396321946,17720365.47386687
20,2019. 05. 23.,7677.27,7943.79,7533.2,7881.85,24457107820,139654107035,3102965.3977175406,17718442.628951322
21,2019. 05. 22.,7956.29,7997.61,7615.99,7680.07,24719473175,136063898960,3218652.066322312,17716492.031973667
22,2019. 05. 21.,7977.97,8062.17,7843.34,7963.33,25127245056,141065573610,3155369.054905423,17714395.059604462
23,2019. 05. 20.,8196.92,8200.97,7678.78,7978.31,23843404340,141315695728,2988528.189553928,17712484.94079573
24,2019. 05. 19.,7267.96,8261.94,7267.96,8197.69,25902422040,145185076705,3159722.0729254214,17710486.332735196
25,2019. 05. 18.,7341.66,7447.27,7251.5,7271.21,21354286562,128761727083,2936827.0978282844,17708431.8955167
26,2019. 05. 17.,7886.93,7929.15,7038.12,7343.9,30066644905,130034777633,4094097.8097468647,17706501.67254456
27,2019. 05. 16.,8194.5,8320.82,7729.61,7884.91,33167197581,139599559278,4206414.224258742,17704648.407908272
28,2019. 05. 15.,7989.37,8216.42,7899.11,8205.17,28344112920,145254332460,3454421.1661671847,17702781.595018752
29,2019. 05. 14.,7807.88,8268.71,7696.39,7994.42,32031452227,141508656735,4006726.2199133895,17700928.489496425
30,2019. 05. 13.,6971.18,8047.41,6898.28,7814.92,28677672181,138316573807,3669605.342217195,17699038.992977533
31,2019. 05. 12.,7203.51,7503.87,6815.77,6972.37,27773333680,123389710222,3983341.916737064,17696953.86532843
32,2019. 05. 11.,6379.67,7333.0,6375.7,7204.77,28867562329,127488435181,4006729.1987114092,17695004.168210782
33,2019. 05. 10.,6175.82,6434.62,6161.52,6378.85,19419875368,112863284035,3044416.3709759596,17693359.153295655
34,2019. 05. 09.,5982.32,6183.04,5982.32,6174.53,16784645411,109238600750,2718368.1042929585,17691808.2428946
35,2019. 05. 08.,5849.48,5989.98,5794.72,5982.46,15320605300,105829143585,2560920.641341522,17689904.08377156
36,2019. 05. 07.,5745.6,5988.18,5741.4,5829.5,18026409033,103112368557,3092273.614032078,17688029.600651857
